ko,DEFINITION
K00001,E1.1.1.1, adh; alchl dehydrgenase [EC1.1.1.1]
K22611,SART3, TIP110; squamus cell carcinma antigen recgnized by T-cells 3
K22612,vVEGFA; Pxvirus vascular endthelial grwth factr A hmlg
K22613,vCX3C; RSV chemine CX3C hmlg
K22614,NLRC3, NOD3; NLR family CARD dmain-cntaining prtein 3
K22615,NLRC5, NOD4; NLR family CARD dmain cntaining 5
K22616,lsC; rnithine lipid ester-lined acyl 2-hydrxylase [EC1.14.11.58]
K22617,lsA; lys-rnithine lipid O-acyltransferase [EC2.3.1.270]
K22618,lsE; rnithine lipid hydrxylase
K22619,Aequrin; calcium-regulated phtprtein [EC1.13.12.24]
K22620,CYP716A141; beta-amyrin 16beta-mnxygenase [EC1.14.14.63]
K22621,CYP716E26; beta-amyrin 6beta-mnxygenase [EC1.14.14.64]
K22622,sxD; S-disulfanyl-L-cysteine xidreductase SxD [EC1.8.2.6]
K22623,vIL17; Herpesvirus interleuin 17
K22624,vCCL27; MOCV1 CC chemine receptr antagnist
K22625,vIL8; Mare's disease virus interleuin 8 hmlg
K22626,NLRP5; NACHT, LRR and PYD dmains-cntaining prtein 5
K22627,CXCL17; C-X-C mtif chemine 17
K22628,IL16; interleuin 16
K22629,IL27; interleuin 27
K22630,IL31RA; interleuin 31 receptr subunit alpha
K22631,IL31; interleuin 31
K22632,IL32; interleuin 32
K22633,IL34; interleuin 34
K22634,CYP71BE52; salvil synthase [EC1.14.14.62]
K22635,CYP76AH3; ferruginl mnxygenase / sugil synthase [EC1.14.14.60 1.14.14.65]
K22636,CYP76AH24; ferruginl synthase / ferruginl mnxygenase [EC1.14.13.190 1.14.14.60]
K22637,CYP76AK1; 11-hydrxysugil 20-mnxygenase [EC1.14.14.67]
K22638,CYP76AK6; carnsic acid synthase [EC1.14.14.61]
K22639,CYP92C5; trimethyltridecatetraene/dimethylnnatriene synthase [EC1.14.14.58 1.14.14.59]
K22640,CYP92C6; trimethyltridecatetraene synthase [EC1.14.14.58]
K22641,TTYH; prtein tweety
K22642,SLN; sarclipin
K22643,MRLN; myregulin
K22644,HVCN1, HV1; vltage-gated hydrgen channel 1
K22645,SLX5; E3 ubiquitin-prtein ligase cmplex SLX5-SLX8 subunit SLX5 [EC2.3.2.27]
K22646,SLX8; E3 ubiquitin-prtein ligase cmplex SLX5-SLX8 subunit SLX8 [EC2.3.2.27]
K22647,MINDY3_4; ubiquitin carbxyl-terminal hydrlase MINDY-3/4 [EC3.4.19.12]
K22648,BCL6B; B-cell CLL/lymphma 6 member B prtein
K22649,BCL9, BCL9L; B-cell CLL/lymphma 9 prtein
K22650,bglJ; luxR family transcriptinal regulatr, regulatr f transprt and utilizatin f aryl beta-glucsides
K22651,RNF4; E3 ubiquitin-prtein ligase RNF4 [EC2.3.2.27]
K22652,TMEM25; transmembrane prtein 25
K22653,NPTN; neurplastin
K22654,IGDCC3, PUNK; immunglbulin superfamily DCC subclass member 3
K22655,IGSF9; immunglbulin superfamily member 9
K22656,IGSF9B; immunglbulin superfamily member 9B
K22657,IGDCC4, NOPE; immunglbulin superfamily DCC subclass member 4
K22658,CDH26; cadherin 26
K22659,CLSTN1; calsyntenin 1
K22660,CLSTN2; calsyntenin 2
K22661,CLSTN3; calsyntenin 3
K22662,NLRP8, NALP8; NACHT, LRR and PYD dmains-cntaining prtein 8
K22663,NLRP9, NALP9; NACHT, LRR and PYD dmains-cntaining prtein 9
K22664,NLRP11, NALP11; NACHT, LRR and PYD dmains-cntaining prtein 11
K22665,NLRP13, NALP13; NACHT, LRR and PYD dmains-cntaining prtein 13
K22666,NLRP14, NALP14; NACHT, LRR and PYD dmains-cntaining prtein 14
K22667,IL20; interleuin 20
K22668,IL24; interleuin 24
K22669,IFNL2_3, IL28; interfern lambda 2/3
K22670,BMP10; bne mrphgenetic prtein 10
K22671,CCL9; C-C mtif chemine 9
K22672,GDF3; grwth differentiatin factr 3
K22673,GDF9; grwth differentiatin factr 9
K22674,GDF10, BMP3B; grwth differentiatin factr 10
K22675,XCL2, SCM1B; C mtif chemine 2
K22676,bphB; cis-2,3-dihydrbiphenyl-2,3-dil/cis-2,3-dihydrdil-DDE dehydrgenase [EC1.3.1.-]
K22677,bphD; 2,6-dix-6-phenylhexa-3-enate/TCOA hydrlase [EC3.7.1.-]
K22678,dhl1; DDT-dehydrchlrinase [EC4.5.1.1]
K22679,GDF11; grwth differentiatin factr 11
K22680,CLEC2A; c-type lectin dmain family 2 member A
K22681,CLEC2L; c-type lectin dmain family 2 member L
K22682,CLEC18; c-type lectin dmain family 18
K22683,APF2; aspartyl prtease family prtein [EC3.4.23.-]
K22684,MCA1; metacaspase-1 [EC3.4.22.-]
K22685,WSS1; DNA-dependent metallprtease WSS1 [EC3.4.24.-]
K22686,NMA111; pr-appttic serine prtease NMA111 [EC3.4.21.-]
K22687,INHBB; inhibin beta B chain
K22688,INHBC; inhibin beta C chain
K22689,INHBE; inhibin beta E chain
K22690,rxA; ex-cleaving rubber dixygenase [EC1.13.11.85]
K22691,DOX1; drimenl mnxygenase [EC1.14.14.72]
K22692,bmp2; 1H-pyrrle-2-carbnyl-[peptidyl-carrier prtein] brminase [EC1.14.19.57]
K22693,pyrH; tryptphan 5-halgenase [EC1.14.19.58]
K22694,sttH; tryptphan 6-halgenase [EC1.14.19.59]
K22695,tzR; 7-chlr-L-tryptphan 6-halgenase [EC1.14.19.60]
K22696,EEF2KMT; prtein-lysine N-methyltransferase EEF2KMT [EC2.1.1.-]
K22697,SAMD8; sphingmyelin synthase-related prtein 1
K22698,SEY1; prtein SEY1 [EC3.6.5.-]
K22699,thi4; sulfide-dependent adensine diphsphate thiazle synthase [EC2.4.2.59]
K22700,ZCCHC2; Zinc finger CCHC dmain-cntaining prtein 2
K22701,TNFRSF10C, TRAILR3, DCR1, CD263; tumr necrsis factr receptr superfamily member 10C
K22702,TNFRSF10D, TRAILR4, DCR2, CD264; tumr necrsis factr receptr superfamily member 10D
K22703,IGMT; hydrxy-3-indlylmethylglucsinlate O-methyltransferase [EC2.1.1.-]
K22704,hpnR; hpanid C-3 methylase [EC2.1.1.-]
K22705,hpnP; hpanid C-2 methylase [EC2.1.1.-]
K22706,UGT85A19; (R)-mandelnitrile beta-glucsyltransferase [EC2.4.1.354]
K22707,sdnJ; srdaricin 6-dexyaltrsyltransferase [EC2.4.1.353]
K22708,tarS; ply(ribitl-phsphate) beta-N-acetylglucsaminyltransferase [EC2.4.1.355]
K22709,tarQ; ply(ribitl-phsphate) beta-glucsyltransferase [EC2.4.1.53]
K22710,tarM; ply(ribitl-phsphate) alpha-N-acetylglucsaminyltransferase [EC2.4.1.70]
K22711,pltR; LysR family transcriptinal regulatr, pyluterin bisynthesis regulatr
K22712,pltA; 1H-pyrrle-2-carbnyl-[peptidyl-carrier prtein] chlrinase [EC1.14.19.56]
K22713,pltG; thiesterase [EC3.1.2.-]
K22714,pltB_C; plyetide synthase
K22715,dxnA1; dibenzfuran dixygenase subunit alpha [EC1.14.12.-]
K22716,dxnA2; dibenzfuran dixygenase subunit beta [EC1.14.12.-]
K22717,dxnB; 2-hydrxy-6-x-6-(2-hydrxyphenxy)-hexa-2,4-dienate hydrlase [EC3.7.1.-]
K22718,blr; divisme-assciated membrane prtein
K22719,envC; murein hydrlase activatr
K22720,glgS; surface cmpsitin regulatr
K22721,CSG1, SUR1, CSH1; insitl phsphrylceramide mannsyltransferase catalytic subunit [EC2.4.1.370]
K22722,CSG2; insitl phsphrylceramide mannsyltransferase regulatry subunit
K22723,AUR1; insitl phsphrylceramide synthase catalytic subunit [EC2.7.1.-]
K22724,KEI1; insitl phsphrylceramide synthase regulatry subunit
K22725,IPT1; mannsylinsitl phsphceramide insitlphsphtransferase [EC2.7.1.-]
K22726,CYP5081B1, HELB2; helvlic acid bisynthesis cytchrme P450 mnxygenase
K22727,CYP5081C1, HELB4; helvlic acid bisynthesis cytchrme P450 mnxygenase
K22728,CYP5081D1, HELB3; helvlic acid bisynthesis cytchrme P450 mnxygenase
K22729,HELC; helvlic acid bisynthesis dehydrgenase/reductase
K22730,HELD1; helvlic acid bisynthesis C6-acyltransferase
K22731,HELD2; helvlic acid bisynthesis cytchrme C16-acyltransferase
K22732,HELE; helvlic acid bisynthesis 3-etsterid Delta1-dehydrgenase
K22733,NIPA, SLC57A2S; magnesium transprter
K22734,ANKH, SLC62A1; prgressive anylsis prtein
K22735,NKAIN; sdium/ptassium-transprting ATPase subunit beta-1-interacting prtein
K22736,VIT; vacular irn transprter family prtein
K22737,mbfA; erythrin-vacular irn transprt family prtein
K22738,PDFR; PDF receptr
K22739,CHYA; 2-(2-aminprpanamid)benzic acid synthetase
K22740,PSOD; pseurtin bisynthesis cytchrme P450 mnxygenase
K22741,PSOC; pseurtin bisynthesis methyltransferase [EC2.1.1.-]
K22742,PSOE; pseurtin bisynthesis glutathine S-transferase
K22743,PSOF; pseurtin bisynthesis epxidase/methyltransferase
K22744,SIVA1; apptsis regulatry prtein Siva
K22745,AIFM2; apptsis-inducing factr 2
K22746,CIAPIN1, DRE2; anamrsin
K22747,AIFM3; apptsis-inducing factr 3
K22748,ATXR3, SDG2; [histne H3]-lysine4 N-trimethyltransferase ATXR3 [EC2.1.1.354]
K22749,GLYATL2; glycine N-acyltransferase [EC2.3.1.13]
K22750,GLYATL3; glycine N-acyltransferase-lie prtein 3 [EC2.3.1.-]
K22751,CBFA2T2; CBFA2/RUNX1 translcatin partner 2
K22752,CBFA2T3; CBFA2/RUNX1 translcatin partner 3
K22753,RNF6; E3 ubiquitin-prtein ligase RNF6 [EC2.3.2.27]
K22754,RNF213; E3 ubiquitin-prtein ligase RNF213 [EC2.3.2.27]
K22755,UFL1; E3 UFM1-prtein ligase 1 [EC2.3.2.-]
K22756,NSMCE2, NSE2; E3 SUMO-prtein ligase NSE2 [EC2.3.2.-]
K22757,QCT, qpcT; glutaminyl-peptide cycltransferase [EC2.3.2.5]
K22758,CHCHD2; ciled-cil-helix-ciled-cil-helix dmain-cntaining prtein 2
K22759,CHCHD10; ciled-cil-helix-ciled-cil-helix dmain-cntaining prtein 10
K22760,CXXC5; CXXC-type zinc finger prtein 5
K22761,PRIMPOL; DNA-directed primase/plymerase prtein [EC2.7.7.102 2.7.7.7]
K22762,DESI1, PPPDE2; desumylating ispeptidase 1 [EC3.4.-.-]
K22763,DESI2, PPPDE1; deubiquitinase DESI2 [EC3.4.19.12]
K22764,TMEM107; transmembrane prtein 107
K22765,TMEM237; transmembrane prtein 237
K22766,FIGNL1; fidgetin-lie prtein 1 [EC3.6.4.-]
K22767,MCC1; histne acetyltransferase MCC1 [EC2.3.1.48]
K22768,MBD9; methyl-CpG-binding dmain-cntaining prtein 9 [EC2.3.1.48]
K22769,desA3; NADPH-dependent stearyl-CA 9-desaturase [EC1.14.19.-]
K22770,K22770; stearyl-CA 9-desaturase NADPH xidreductase
K22771,UGT73C6; flavnl-3-O-L-rhamnside-7-O-glucsyltransferase [EC2.4.1.-]
K22772,FG2; flavnl-3-O-glucside L-rhamnsyltransferase [EC2.4.1.159]
K22773,gB, UL55; Betaherpesvirinae envelpe glycprtein B
K22774,UL123; HCMV immediate-early prtein 1
K22775,UL122; Cytmegalvirus viral transcriptin factr IE2
K22776,UL38; Cytmegalvirus apptsis inhibitr UL38
K22777,gH, UL75; Cytmegalvirus envelpe glycprtein H
K22778,gL, UL115; Cytmegalvirus envelpe glycprtein L
K22779,UL82; Cytmegalvirus tegument prtein pp71
K22780,UL26; Cytmegalvirus tegument prtein UL26
K22781,US28; HCMV envelpe prtein US28
K22782,UL33; Cytmegalvirus G-prtein cupled receptr UL33
K22783,US27; HCMV envelpe glycprtein US27
K22784,UL22A; HCMV glycprtein UL22A
K22785,US6; HCMV membrane glycprtein US6
K22786,US11; HCMV membrane glycprtein US11
K22787,US3; HCMV membrane glycprtein US3
K22788,UL36; Cytmegalvirus viral inhibitr f caspase-8-induced apptsis
K22789,UL37; UL37 HCMV immediate early glycprtein
K22790,Octbeta; ctpamine receptr beta
K22791,TyrR; tyramine receptr
K22792,TrissinR; trissin receptr
K22793,MRGPRH; Mas-related G prtein-cupled receptr member H
K22794,FG3; flavnl-3-O-glucside/galactside glucsyltransferase [EC2.4.1.239 2.4.1.-]
K22795,papA2; 2-O-sulf trehalse lng-chain-acyltransferase [EC2.3.1.288]
K22796,chp2; diacyltrehalse acyltransferase [EC2.3.1.-]
K22797,ctT; diglucsylglycerate ctanyltransferase [EC2.3.1.273]
K22798,auaE; anthranilate-CA-ACP transferase [EC6.2.1.-]
K22799,auaA; 2-methyl-4-hydrxyquinline prenyltransferase [EC2.5.1.-]
K22800,auaF; aurachin D mnxygenase [EC1.14.13.-]
K22801,auaJ; aurachin B mnxygenase [EC1.14.13.-]
K22802,auaI; aurichin B epxide hydrlase
K22803,SMC5; structural maintenance f chrmsmes prtein 5
K22804,SMC6; structural maintenance f chrmsmes prtein 6
K22805,FAM84A, NSE1; prtein FAM84A
K22806,SPIDR; DNA repair-scafflding prtein
K22807,WRNex; werner syndrme-lie exnuclease [EC3.1.11.-]
K22808,KANK; KN mtif and anyrin repeat dmain-cntaining prtein
K22809,IPUT1; insitl phsphrylceramide glucurnsyltransferase 1 [EC2.4.1.-]
K22810,FAM84B; prtein FAM84B
K22811,CYP705A5; thalian-dil desaturase
K22812,CYP708A2; thalianl hydrxylase
K22813,E4.1.1.110; bisphsphmevalnate decarbxylase [EC4.1.1.110]
K22814,Octalpha; ctpamine receptr alpha
K22815,Oct-TyrR; ctpamine/tyramine receptr
K22816,CNPY3_4; prtein canpy 3/4
K22817,NSMCE1, NSE1; nn-structural maintenance f chrmsmes element 1 [EC2.3.2.27]
K22818,fadE26; 3-xchlest-4-en-26-yl-CA dehydrgenase alpha subunit [EC1.3.99.-]
K22819,fadE27; 3-xchlest-4-en-26-yl-CA dehydrgenase beta subunit [EC1.3.99.-]
K22820,fadE34; 3-xchl-4-en-24-yl-CA dehydrgenase [EC1.3.99.-]
K22821,fadE28; 3-x-4-pregnene-20-carbxyl-CA dehydrgenase alpha subunit [EC1.3.99.-]
K22822,fadE29; 3-x-4-pregnene-20-carbxyl-CA dehydrgenase beta subunit [EC1.3.99.-]
K22823,NSMCE3, NSE3; nn-structural maintenance f chrmsmes element 3
K22824,WTAP; pre-mRNA-splicing regulatr WTAP
K22825,NSMCE4, NSE4; nn-structural maintenance f chrmsmes element 4
K22826,EID3, NSMCE4B; EP300-interacting inhibitr f differentiatin 3
K22827,MICU1; calcium uptae prtein 1, mitchndrial
K22828,MICU2; calcium uptae prtein 2, mitchndrial
K22829,MCUB; calcium uniprter regulatry subunit MCUb, mitchndrial
K22830,SMDT1, EMRE; essential MCU regulatr, mitchndrial
K22831,LOA1; 1-acylglycerl-3-phsphate O-acyltransferase [EC2.3.1.51]
K22832,GAS1; 1,3-beta-glucansyltransferase GAS1 [EC2.4.1.-]
K22833,GAS2; 1,3-beta-glucansyltransferase GAS2 [EC2.4.1.-]
K22834,GAS3; 1,3-beta-glucansyltransferase GAS3 [EC2.4.1.-]
K22835,GAS4; 1,3-beta-glucansyltransferase GAS4 [EC2.4.1.-]
K22836,GAS5; 1,3-beta-glucansyltransferase GAS5 [EC2.4.1.-]
K22837,ubaA; SAMP-activating enzyme [EC2.7.7.100]
K22838,phlA; 2-acetylphlrglucinl acetyltransferase [EC2.3.1.272]
K22839,phlC; 2-acetylphlrglucinl acetyltransferase [EC2.3.1.272]
K22840,phlB; 2-acetylphlrglucinl acetyltransferase [EC2.3.1.272]
K22841,famD2; 3-geranyl-3-[(Z)-2-iscyanethenyl]indle synthase [EC2.5.1.146]
K22842,MRP; L-glutamate-5-semialdehyde N-acetyltransferase [EC2.3.1.271]
K22843,ETFBKMT, METTL20; ETFB lysine methyltransferase [EC2.1.1.-]
K22844,aglG; glucsyl-dlichyl phsphate glucurnsyltransferase [EC2.4.1.356]
K22845,PGT1; phlrizin synthase [EC2.4.1.357]
K22846,CS26; S-sulf-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC2.5.1.144]
K22847,cysK2; S-sulf-L-cysteine synthase (3-phsph-L-serine-dependent) [EC2.8.5.1]
K22848,DGAT2; diacylglycerl O-acyltransferase 2, plant [EC2.3.1.20]
K22849,DGAT3; diacylglycerl O-acyltransferase 3, plant [EC2.3.1.20]
K22850,cfaA; CFA/I fimbrial subunit A
K22851,cfaB; CFA/I fimbrial subunit B
K22852,cfaC; CFA/I fimbrial subunit C
K22853,cfaE; CFA/I fimbrial subunit E
K22854,cfaD; CFA/I fimbrial subunit D
K22855,EEF1AKMT1, EFM5; EEF1A lysine methyltransferase 1 [EC2.1.1.-]
K22856,EEF1AKMT2, EFM4, METTL10; EEF1A lysine methyltransferase 2 [EC2.1.1.-]
K22857,EEF1AKMT4; EEF1A lysine methyltransferase 4 [EC2.1.1.-]
K22858,JBTS26; prtein JBTS26
K22859,JBTS17, CPLANE1; prtein JBTS17
K22860,RSG1, CPLANE2; REM2 and Rab-lie small GTPase 1
K22861,FUZ, CPLANE3; prtein fuzzy
K22862,INTU, CPLANE4; prtein inturned
K22863,WDPCP, CPLANE5; WD repeat-cntaining and planar cell plarity effectr prtein
K22864,ARMC9; LisH dmain-cntaining prtein ARMC9
K22865,TALPID3, JBTS23; prtein TALPID3
K22866,TCTEX1D2; tctex1 dmain-cntaining prtein 2
K22867,TMEM138; transmembrane prtein 138
K22868,WDR34; WD repeat-cntaining prtein 34
K22869,WDR60; WD repeat-cntaining prtein 60
K22870,ZNF423; zinc finger prtein 423
K22871,tzs; adenylate dimethylallyltransferase [EC2.5.1.27]
K22872,ASTC-R; allatstatin C receptr
K22873,TRE1; prtein trapped in endderm-1
K22874,pvcB; L-tyrsine isnitrile desaturase/decarbxylase [EC1.14.20.9 1.14.20.10]
K22875,rtxC; dihydrrhizbitxine desaturase [EC1.14.19.61]
K22876,ambI3; 3-[(Z)-2-iscyanethenyl]-1H-indle synthase [EC1.14.20.11]
K22877,isnB; 3-[(E)-2-iscyanethenyl]-1H-indle synthase [EC1.14.20.12]
K22878,DAF9; cytchrme P450 daf-9 [EC1.14.15.15]
K22879,hpyO; FAD-dependent urate hydrxylase [EC1.14.13.113]
K22880,CYP3201B1; phenylacetnitrile alpha-mnxygenase [EC1.14.14.77]
K22881,phaE; plyhydrxyalanate synthase subunit PhaE
K22882,K22882; thymidylate synthase [EC2.1.1.-]
K22883,NATA1; L-rnithine N5-acetyltransferase [EC2.3.1.-]
K22884,SIDL; N5-hydrxyrnithine acetyltransferase [EC2.3.1.-]
K22885,K22885; dTDP-4-amin-4,6-didexyglucse frmyltransferase [EC2.3.1.-]
K22886,K22886; prtein lysine acetyltransferase [EC2.3.1.-]
K22887,CYP52M1; lng-chain fatty acid mega-mnxygenase [EC1.14.14.80]
K22888,HISAT; histidine N-acetyltransferase [EC2.3.1.33]
K22889,AYT1, TRI101; trichthecene 3-O-acetyltransferase [EC2.3.1.-]
K22890,vpu; HIV-1 prtein Vpu
K22891,nef; HIV-1 prtein Nef
K22892,vif; HIV-1 virin infectivity factr
K22893,pnH; serine/threnine inase PnH [EC2.7.11.1]
K22894,embR; SARP family transcriptinal regulatr, regulatr f embCAB pern
K22895,cruH; renierapurpurin 18,18'-hydrxylase
K22896,vnfD; vanadium-dependent nitrgenase alpha chain [EC1.18.6.2]
K22897,vnfK; vanadium-dependent nitrgenase beta chain [EC1.18.6.2]
K22898,vnfG; vanadium nitrgenase delta subunit [EC1.18.6.2]
K22899,vnfH; vanadium nitrgenase irn prtein
K22900,TRMO, trmO; tRNA (adenine37-N6)-methyltransferase [EC2.1.1.-]
K22901,trm4; tRNA (cytsine40_48-C5)-methyltransferase [EC2.1.1.-]
K22902,K22902; D-galactsaminyltransferase
K22903,vnfE; nitrgenase vanadium-cfactr synthesis prtein VnfE
K22904,PLPP6; presqualene diphsphate phsphatase [EC3.1.3.-]
K22905,stf3; mega-hydrxy-beta-dihydrmenaquinne-9 sulftransferase [EC2.8.2.-]
K22906,phy; phlretin hydrlase [EC3.7.1.4]
K22907,ppgS; plyprenyl-phsph-N-acetylgalactsaminyl synthase
K22908,mggS; mannsylglucsylglycerate synthase [EC2.4.1.-]
K22909,ZC3H13; zinc finger CCCH dmain-cntaining prtein 13
K22910,VIRMA; prtein virilizer
K22911,TH2; thiamine phsphate phsphatase / amin-HMP aminhydrlase [EC3.1.3.100 3.5.99.-]
K22912,PYRP2; 5-amin-6-(5-phsph-D-ribitylamin)uracil phsphatase [EC3.1.3.104]
K22913,FIG4; phsphatidylinsitl 3,5-bisphsphate 5-phsphatase [EC3.1.3.-]
K22914,tviA; Vi plysaccharide bisynthesis prtein TviA
K22915,tviD; Vi plysaccharide bisynthesis prtein TviD
K22916,tviE, vipC; Vi plysaccharide bisynthesis prtein TviE
K22917,vexE; Vi plysaccharide exprt prtein VexE
K22918,ttsA; typhid txin secretin A
K22919,DpEcR; dpamine/ecdysterid receptr
K22920,UGP3; UTP---glucse-1-phsphate uridylyltransferase [EC2.7.7.9]
K22921,vexB; Vi plysaccharide transprt system permease prtein
K22922,vexD; Vi plysaccharide transprt system permease prtein
K22923,vexC; Vi plysaccharide transprt system ATP-binding prtein [EC7.6.2.12]
K22924,vexA, tviF; Vi plysaccharide exprt prtein VexA
K22925,tviC, vipB; UDP-N-acetylglucsaminurnic acid 4-epimerase [EC5.1.3.-]
K22926,tviB, vipA; UDP-N-acetylglucsamine 6-dehydrgenase [EC1.1.1.136]
K22927,gdpP; cyclic-di-AMP phsphdiesterase [EC3.1.4.59]
K22928,DNPH1; 2'-dexynucleside 5'-phsphate N-hydrlase [EC3.2.2.-]
K22929,E4.2.3.192; labda-7,13(16),14-triene synthase [EC4.2.3.192]
K22930,cldD; (12E)-labda-8(17),12,14-triene synthase [EC4.2.3.193]
K22931,E5.5.1.29; (+)-lavenyl diphsphate synthase [EC5.5.1.29]
K22932,CYP81E9; isflavne 3'-hydrxylase [EC1.14.14.88]
K22933,lplD; galacturan 1,4-alpha-galacturnidase [EC3.2.1.67]
K22934,E3.2.1.28; alpha,alpha-trehalase [EC3.2.1.28]
K22935,XK1, ps; D-ribulinase [EC2.7.1.47]
K22936,CNPY1_2; prtein canpy 1/2
K22937,LYST; lyssmal-trafficing regulatr
K22938,SDCCAG3, ENTR1; serlgically defined cln cancer antigen 3
K22939,IER3IP1, YOS1; immediate early respnse 3-interacting prtein 1
K22940,YIPF1_2; prtein YIPF1/2
K22941,YIPF3, KLIP1; prtein YIPF3
K22942,YIPF4; prtein YIPF4
K22943,YIPF6; prtein YIPF6
K22944,cyaA; bifunctinal hemlysin/adenylate cyclase [EC4.6.1.1]
K22945,TPS2; nezul synthase [EC4.2.3.183]
K22946,CPS4; ent-8alpha-hydrxylabd-13-en-15-yl diphsphate synthase [EC4.2.1.173]
K22947,KSL2; ent-13-epi-manyl xide synthase [EC4.2.3.186]
K22948,E5.5.1.28; (-)-lavenyl diphsphate synthase [EC5.5.1.28]
K22949,RIBF; FAD synthetase [EC2.7.7.2]
K22950,UGT71K3; acylphlrglucinl glucsyltransferase [EC2.4.1.358]
K22951,gag; HIV-1 gag plyprtein
K22952,pvcA; L-tyrsine isnitrile synthase [EC4.1.99.24]
K22953,ambI1; L-tryptphan isnitrile synthase [EC4.1.99.25]
K22954,luxI; acyl hmserine lactne synthase [EC2.3.1.184]
K22955,traI, avsI; acyl hmserine lactne synthase [EC2.3.1.184]
K22956,expI, esaI; acyl hmserine lactne synthase [EC2.3.1.184]
K22957,cviI; acyl hmserine lactne synthase [EC2.3.1.184]
K22958,lpdC; gallate decarbxylase subunit C [EC4.1.1.59]
K22959,lpdB; gallate decarbxylase subunit B
K22960,lpdD; gallate decarbxylase subunit D
K22961,GPR179; G prtein-cupled receptr 179
K22962,NP7; nitrite dismutase [EC1.7.6.1]
K22963,lis; linall ismerase [EC5.4.4.8]
K22964,LCC; pre-alpha-ncerin synthase [EC5.4.99.65]
K22965,LCD; alpha-ncerin synthase [EC5.4.99.66]
K22966,HINT4; sulfate adenylyltransferase (ADP) / adenylylsulfatase [EC2.7.7.5 3.6.2.1]
K22967,TPS3; (-)-drimenl synthase [EC4.2.3.194]
K22968,sinI, avsI; acyl hmserine lactne synthase [EC2.3.1.184]
K22969,gdh; glucse 1-dehydrgenase [EC1.1.1.47]
K22970,DHRS11; 17beta-estradil 17-dehydrgenase / 3beta-hydrxysterid 3-dehydrgenase [EC1.1.1.62 1.1.1.270]
K22971,K22971; hapalindle H/12-epi-hapalindle U/12-epi-fischerindle U synthase [EC5.5.1.31 5.5.1.32 5.5.1.33]
K22972,BPLF1; EBV large tegment prtein deneddylase [EC3.4.19.12]
K22973,BARF1; EBV secreted prtein BARF1
K22974,BNLF2A; EBV prtein BNLF2a
K22975,BILF1; EBV G-prtein cupled receptr BILF1
K22976,atxA; anthrax txin expressin trans-acting psitive regulatr
K22977,acpA; capsule synthesis psitive regulatr AcpA
K22978,STC3; (+)-eremphilene synthase [EC4.2.3.164]
K22979,geA; (+)-eremphilene synthase [EC4.2.3.164]
K22980,acpB; capsule synthesis psitive regulatr AcpB
K22981,capE; gamma-plyglutamate bisynthesis prtein CapE
K22982,K22982; hydrxypyruvate reductase [EC1.1.1.81]
K22983,CYP76A; cytchrme P450 family 76 subfamily A
K22984,OR; drant receptr
K22985,GPR107; G prtein-cupled receptr 107
K22986,GPR108; G prtein-cupled receptr 108
K22987,GCR1, CRLA; cAMP receptr-lie G-prtein cupled receptr
K22988,TPRA1, GPR175; transmembrane prtein adipcyte-assciated 1
K22989,GPR137; integral membrane prtein GPR137
K22990,TOR1; trsin-1
K22991,WDR45, WIPI4, WIPI3; WD repeat-cntaining prtein 45
K22992,CYP628; cytchrme P450 family 628
K22993,K22993; bifunctinal Delta-12/mega-3 fatty acid desaturase [EC1.14.19.6 1.14.19.-]
K22994,pelX; pectate disaccharide-lyase [EC4.2.2.9]
K22995,CYP81Q; (+)-piperitl/(+)-sesamin synthase [EC1.14.19.74]
K22996,ambO5, welO5; hapalindle-type alalid chlrinase [EC1.14.20.14]
K22997,ctB3; cyclctat-9-en-7-l 5-mnxygenase [EC1.14.99.61]
K22998,ctB4; cyclctatin synthase [EC1.14.99.62]
K22999,TOR2A; trsin-2A
K23000,TOR3A, ADIR; trsin-3A
K23001,TOR1AIP; trsin-1A-interacting prtein
K23002,RPAP3; RNA plymerase II-assciated prtein 3
K23003,lgaA; L-galactse dehydrgenase [EC1.1.1.-]
K23004,lgaB; L-galactn-1,5-lactnase [EC3.1.1.-]
K23005,lgaC; L-galactnate 5-dehydrgenase [EC1.1.1.414]
K23006,FAD3; mega-3 fatty acid desaturase (Delta-15 desaturase) [EC1.14.19.-]
K23007,lgD; L-galactnate 5-dehydrgenase [EC1.1.1.414]
K23008,USPL1; SUMO-specific ispeptidase USPL1 [EC3.4.22.-]
K23009,CPO; carbxypeptidase O [EC3.4.17.-]
K23010,OMA1; metallendpeptidase OMA1, mitchndrial [EC3.4.24.-]
K23011,PRSS57, NSP4; serine prtease 57 [EC3.4.21.-]
K23012,TYSND1; perxismal leader peptide-prcessing prtease [EC3.4.21.-]
K23013,DPP6; dipeptidyl aminpeptidase-lie prtein 6
K23014,DPP10; inactive dipeptidyl peptidase 10
K23015,lgR; GntR family transcriptinal regulatr, transcriptinal activatr fr L-galactnate catablism
K23016,lgT; MFS transprter, ACS family, L-galactnate transprter
K23017,gag; HTLV-1 gag plyprtein
K23018,rex; HTLV-1 rex plyprtein
K23019,mabB; 5-aminsalicylate 1,2-dixygenase [EC1.13.11.86]
K23020,camE36; 3,6-dietcamphane 1,6-mnxygenase [EC1.14.14.155]
K23021,TPS6; (2S,3R,6S,9S)-(-)-prtillud-7-ene synthase [EC4.2.3.160]
